Well No,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,HAR_Total,SAR,RSC,Na%,WnQn(Ph),WnQn(Ca),WnQn(Mg),WnQn(F),WnQn(Ec),WnQn(Har),WnQn(TDS),WaterQualityIndex
13166,Kancheepuram,Chengalpattu,Muttukkadu,"12°49'00""","80°14'00""",03-01-2015,476,3,48,19.44,87,24,142,54,1.074351,143.8859,0.05,7.9,840,200,2.677529,0,45.0873,7.01454,0.847980032,2.146449456,3.450439596,0.92747816,0.220828133,0.189205526,14.7969209
13232,Kancheepuram,Tambaram,Tambaram,"12°55'50""","80°07'60""",03-01-2015,512,13,40,25.515,99,23,99,57,0,219.6,0.2,7.9,900,205,3.009171,0,47.89896,7.01454,0.706650027,2.817214911,13.80175838,0.9937266,0.226348837,0.203515187,25.76375394
MWS2,Kancheepuram,Tambaram,Mambakkam,"12°50'15""","80°10'00""",03-01-2015,230,1,38,9.72,25,21,57,2,1.11703,118.833,0.1,8,430,135,0.936572,0,25.16766,7.793933333,0.671317525,1.073224728,6.900879192,0.474780487,0.14905899,0.091422838,17.15461709
MWS3,Kancheepuram,Tambaram,Chitlabakkam,"12°52'09""","80°11'23""",03-01-2015,1550,3,100,123.93,320,26,815,5,0,292.8,0.2,7.7,2980,760,5.050955,0,46.75172,5.455753333,1.766625067,13.68361528,13.80175838,3.290339187,0.839146907,0.61611043,39.45334859
MWS4,Kancheepuram,Tambaram,Erumpuliyur,"12°55'00""","80°06'31""",03-01-2015,1093,25,68,57.105,252,1,411,62,0,262.3,0.1,7.8,1910,405,5.44925,0,57.45097,6.235146667,1.201305045,6.305195277,6.900879192,2.108908673,0.44717697,0.434457226,23.63306905
HP11933,Kancheepuram,Tambaram,Madambakkam.113,"12°54'00""","80°08'52""",03-01-2015,796,14,72,58.32,130,22,238,55,0,317.2,0.1,7.8,1460,420,2.760486,0,38.70538,6.235146667,1.271970048,6.439348368,6.900879192,1.612045373,0.46373908,0.316402518,23.23953125
13015,Kancheepuram,Tambaram,Madurabakkam,"12°52'07""","80°10'11""",03-01-2015,1503,4,56,114.21,335,32,390,195,0,725.9,0.6,7.8,2760,610,5.901653,0,52.8287,6.235146667,0.989310037,12.61039055,41.40527515,3.04742824,0.673525807,0.597428372,65.55850483
13236A,Kancheepuram,Tambaram,St.thomas Mount,"13°00'14""","80°11'43""",03-01-2015,648,18,52,35.235,119,29,121,72,0,280.6,0.4,7.9,1140,275,3.122941,0,45.356,7.01454,0.918645035,3.890439639,27.60351677,1.25872036,0.303638683,0.257573909,41.24707439
13237A,Kancheepuram,Tambaram,Alandur,"13°00'16""","80°12'48""",03-01-2015,728,5,74,25.515,160,2,99,180,0,329.4,0.1,7.8,1280,290,4.089449,0,54.35787,6.235146667,1.307302549,2.817214911,6.900879192,1.413300053,0.320200793,0.289373157,19.28341732
13185,Kancheepuram,Tambaram,Injambakkam,"12°55'00""","80°15'07""",03-01-2015,395,4,40,31.59,43,25,99,62,1.461202,123.4759,0.1,8.1,710,230,1.233882,0,26.32327,8.573326667,0.706650027,3.487980366,6.900879192,0.783939873,0.253952353,0.157008787,20.86373726
