Well No,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,HAR_Total,SAR,RSC,Na%,WnQn(Ph),WnQn(Ca),WnQn(Mg),WnQn(F),WnQn(Ec),WnQn(Har),WnQn(TDS),WaterQualityIndex
106.0,0,11,104.0,96.0,96.0,30.0,738.0,7.0,30.0,77.76,143.0,3.0,216.0,57.0,0.0,359.9,0.73,7.9,1420.0,395.0,3.130522,0.0,43.82634,7.0145399999999976,0.52998752,8.585797824,50.3764181,1.567879747,0.436135563,0.293348063,68.80410682
74.0,0,11,75.0,69.0,101.0,30.0,403.0,6.0,54.0,21.87,69.0,1.0,71.0,37.0,2.934696,196.9861,0.6,8.2,750.0,225.0,2.002109,0.0,39.9038,9.35272,0.953977536,2.414755638,41.40527515,0.8281055,0.24843165,0.16018871199999998,55.36345419
70.0,0,11,69.0,63.0,61.0,30.0,540.0,6.0,16.0,30.375,154.0,8.0,74.0,39.0,0.0,384.3,0.63,8.2,1020.0,165.0,5.216476,0.0,65.66502,9.35272,0.282660011,3.353827275,43.47553891,1.12622348,0.18218321,0.214644924,57.98779781
38.0,0,11,36.0,58.0,30.0,30.0,821.0,4.0,44.0,76.545,168.0,0.1,294.0,43.0,0.0,353.8,0.22,7.7,1580.0,425.0,3.545842,0.0,46.23687,5.455753333,0.777315029,8.451644733,15.18193422,1.744542253,0.469259783,0.326339783,32.40678914
91.0,0,10,93.0,86.0,88.0,30.0,547.0,5.0,40.0,40.095,122.0,0.1,152.0,30.0,0.0,280.6,0.52,7.7,1060.0,265.0,3.261257,0.0,50.04062,5.455753333,0.706650027,4.427052003,35.8845718,1.170389107,0.292597277,0.217427358,48.1544409
75.0,0,10,76.0,70.0,68.0,30.0,1127.0,5.0,120.0,91.125,140.0,0.1,520.125,31.0,0.0,317.2,0.41,7.7,2140.0,570.0,2.202836,0.0,28.48733,5.455753333,2.1199500800000006,10.2627114615,28.29360469,2.362861027,0.6293601799999999,0.447971906,50.71637844
102.0,0,10,103.0,95.0,95.0,30.0,501.0,1.0,16.0,34.02,140.0,0.1,85.0,30.0,0.0,384.3,1.05,7.9,970.0,180.0,4.5402830000000005,0.0,62.84397,7.0145399999999976,0.282660011,3.756286548,72.45923151,1.071016447,0.19874532,0.199142791,84.98162263
54.0,0,10,53.0,47.0,50.0,30.0,333.0,4.0,56.0,20.655,55.0,0.1,117.0,24.0,0.4125363,69.55592,1.03,7.8,690.0,225.0,1.5959139999999998,0.0,34.72599,6.235146667,0.989310037,2.280602547,71.07905567,0.76185706,0.24843165,0.13236437,81.726768
82.0,0,10,83.0,79.0,65.0,30.0,1271.0,10.0,36.0,65.61,327.0,34.85,520.125,26.0,0.0,323.3,0.29,7.6,2250.0,360.0,7.498904,0.0,63.1632,4.67636,0.635985024,7.244266914,20.01254966,2.4843165000000003,0.39749064,0.505210553,35.95617929
93.0,0,10,97.0,89.0,70.0,30.0,716.0,6.0,42.0,54.675,144.0,9.0,227.0,32.0,0.0,359.9,0.49,7.8,1310.0,330.0,3.449307,0.0,47.85455,6.235146667,0.741982528,6.036889095,33.81430804,1.446424273,0.36436642,0.28460327,48.92372029
116.0,0,10,116.0,106.0,108.0,30.0,228.0,1.0,26.0,6.075,64.0,0.1,35.0,16.0,1.163592,123.7864,0.88,8.0,460.0,90.0,2.9365240000000004,0.0,60.73178000000001,7.793933332999999,0.459322517,0.670765455,60.72773689,0.507904707,0.09937266,0.090627857,70.34966342
18.0,0,10,17.0,16.0,17.0,30.0,684.0,13.0,120.0,70.47,32.0,0.1,238.0,26.0,0.0,274.5,0.22,7.8,1330.0,570.0,0.5709385,0.0,10.47998,6.235146667,2.1199500800000006,7.780879278,15.18193422,1.468507087,0.6293601799999999,0.27188357,33.7505971
11.0,0,10,10.0,23.0,11.0,30.0,294.0,1.0,34.0,25.515,35.0,0.1,85.0,24.0,2.053938,137.8668,0.13,8.2,530.0,190.0,1.105007,0.0,28.60973,9.35272,0.6006525229999999,2.817214911,8.971142948999999,0.585194553,0.209786727,0.116862236,22.6535739
59.0,0,10,58.0,32.0,49.0,30.0,917.0,4.0,66.0,76.545,167.0,9.0,425.0,33.0,0.0,244.0,0.14,7.7,1710.0,480.0,3.3168940000000005,0.0,42.51307,5.455753333,1.1659725440000002,8.451644733,9.661230867999999,1.88808054,0.52998752,0.36449888,27.51716842
